                              Country         Region        Income
0                             Algeria         AFRICA   5415.986264
1                              Angola         AFRICA   2728.529902
2                               Benin         AFRICA   1222.901415
3                            Botswana         AFRICA   6959.659458
4                             Burkina         AFRICA      0.000000
5                             Burundi         AFRICA    628.589787
6                            Cameroon         AFRICA   2411.324587
7                          Cape Verde         AFRICA   1500.814566
8            Central African Republic         AFRICA      0.000000
9                                Chad         AFRICA   1066.264060
10                            Comoros         AFRICA   1337.510480
11                              Congo         AFRICA      0.000000
12      Congo, Democratic Republic of         AFRICA      0.000000
13                           Djibouti         AFRICA   2742.923331
14                              Egypt         AFRICA   3956.622473
15                  Equatorial Guinea         AFRICA   1010.404744
16                            Eritrea         AFRICA    512.625558
17                           Ethiopia         AFRICA    564.373820
18                              Gabon         AFRICA  12980.290600
19                             Gambia         AFRICA    651.850951
20                              Ghana         AFRICA    870.052546
21                             Guinea         AFRICA    831.908924
22                      Guinea-Bissau         AFRICA    747.969752
23                        Ivory Coast         AFRICA      0.000000
24                              Kenya         AFRICA   1396.422336
25                            Lesotho         AFRICA    851.827177
26                            Liberia         AFRICA    490.924579
27                              Libya         AFRICA  11617.209160
28                         Madagascar         AFRICA   1140.361019
29                             Malawi         AFRICA    610.935054
30                               Mali         AFRICA    670.504547
31                         Mauritania         AFRICA   1435.101782
32                          Mauritius         AFRICA   5062.208201
33                            Morocco         AFRICA   2963.853596
34                         Mozambique         AFRICA    424.481333
35                            Namibia         AFRICA   3624.189909
36                              Niger         AFRICA    687.393065
37                            Nigeria         AFRICA   1481.384981
38                             Rwanda         AFRICA    793.551727
39              Sao Tome and Principe         AFRICA   1508.152986
40                            Senegal         AFRICA   1470.264047
41                         Seychelles         AFRICA  10747.292190
42                       Sierra Leone         AFRICA   1298.326262
43                            Somalia         AFRICA   1089.285829
44                       South Africa         AFRICA   7965.501680
45                        South Sudan         AFRICA   1502.188477
46                              Sudan         AFRICA   1494.415186
47                          Swaziland         AFRICA   3712.853493
48                           Tanzania         AFRICA    840.708363
49                               Togo         AFRICA   1212.077333
50                            Tunisia         AFRICA   3732.502282
51                             Uganda         AFRICA    636.793851
52                             Zambia         AFRICA   1249.787665
53                           Zimbabwe         AFRICA    744.458975
54                        Afghanistan           ASIA    770.010794
55                            Bahrain           ASIA  18571.207290
56                         Bangladesh           ASIA    759.044740
57                             Bhutan           ASIA   1535.466649
58                             Brunei           ASIA  52649.802280
59                              Burma           ASIA      0.000000
60                           Cambodia           ASIA    752.687651
61                              China           ASIA   2035.622216
62                         East Timor           ASIA      0.000000
63                              India           ASIA   1080.978423
64                          Indonesia           ASIA   1821.981791
65                               Iran           ASIA   5892.143401
66                               Iraq           ASIA   8801.590580
67                             Israel           ASIA  17187.122490
68                              Japan           ASIA  23661.036540
69                             Jordan           ASIA   4257.363231
70                         Kazakhstan           ASIA   7368.026409
71                       Korea, North           ASIA      0.000000
72                       Korea, South           ASIA      0.000000
73                             Kuwait           ASIA  27895.530850
74                         Kyrgyzstan           ASIA   2549.357238
75                               Laos           ASIA   1167.061326
76                            Lebanon           ASIA   3994.026790
77                           Malaysia           ASIA   5577.662106
78                           Maldives           ASIA   1761.796272
79                           Mongolia           ASIA   2391.142136
80                              Nepal           ASIA    815.814815
81                               Oman           ASIA  18002.578620
82                           Pakistan           ASIA   1760.849258
83                        Philippines           ASIA   2285.433763
84                              Qatar           ASIA  40632.351590
85                 Russian Federation           ASIA      0.000000
86                       Saudi Arabia           ASIA  20995.142080
87                          Singapore           ASIA  20542.929880
88                          Sri Lanka           ASIA   1898.766592
89                              Syria           ASIA   3500.157171
90                         Tajikistan           ASIA   3637.074122
91                           Thailand           ASIA   3330.332705
92                             Turkey           ASIA   5502.700219
93                       Turkmenistan           ASIA   5504.785006
94               United Arab Emirates           ASIA  27050.847340
95                         Uzbekistan           ASIA   2112.713866
96                            Vietnam           ASIA    851.423952
97                              Yemen           ASIA      0.000000
98                            Albania         EUROPE   3762.606544
99                            Andorra         EUROPE  27517.713610
100                           Armenia         EUROPE   2918.332497
101                           Austria         EUROPE  24371.177690
102                        Azerbaijan         EUROPE   4776.171807
103                           Belarus         EUROPE   6802.383293
104                           Belgium         EUROPE  23555.820100
105            Bosnia and Herzegovina         EUROPE   4234.672274
106                          Bulgaria         EUROPE   8179.010541
107                           Croatia         EUROPE  13568.047270
108                            Cyprus         EUROPE  15679.760240
109                    Czech Republic         EUROPE      0.000000
110                           Denmark         EUROPE  24831.144720
111                           Estonia         EUROPE  10496.963800
112                           Finland         EUROPE  22110.884700
113                            France         EUROPE  23523.513070
114                           Georgia         EUROPE   6816.096708
115                           Germany         EUROPE  25359.060240
116                            Greece         EUROPE  16414.353360
117                           Hungary         EUROPE  13399.303100
118                           Iceland         EUROPE  26435.223940
119                           Ireland         EUROPE  14639.595190
120                             Italy         EUROPE  20293.850910
121                            Latvia         EUROPE  10512.993020
122                     Liechtenstein         EUROPE  51396.196370
123                         Lithuania         EUROPE  13426.966860
124                        Luxembourg         EUROPE  37373.590640
125                         Macedonia         EUROPE      0.000000
126                             Malta         EUROPE  11937.831990
127                           Moldova         EUROPE   5003.612366
128                            Monaco         EUROPE  29994.742430
129                        Montenegro         EUROPE  11516.461280
130                       Netherlands         EUROPE  23032.596050
131                            Norway         EUROPE  30359.209850
132                            Poland         EUROPE   9252.060330
133                          Portugal         EUROPE  14008.381390
134                           Romania         EUROPE   9637.161027
135                        San Marino         EUROPE  25600.712880
136                            Serbia         EUROPE  15578.623420
